CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,PREP_MENSUAL,Unidad
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1992,6,29.7,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1992,7,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1992,8,6.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1992,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1992,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1992,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1992,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1993,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1993,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1993,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1993,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1993,5,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1993,6,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1993,7,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1993,8,7.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1993,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1993,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1993,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1993,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1994,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1994,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1994,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1994,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1994,5,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1994,6,0.5,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1994,7,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1994,8,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1994,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1994,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1994,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1994,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1995,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1995,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1995,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1995,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1995,5,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1995,6,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1995,7,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1995,8,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1995,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1995,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1995,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1996,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1996,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1996,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1996,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1996,5,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1996,6,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1996,7,7.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1996,8,2.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1996,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1996,10,3.2,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1996,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1996,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1997,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1997,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1997,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1997,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1997,5,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1997,6,100.19999999999999,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1997,7,1.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1997,8,110.9,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1997,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1997,10,3.5,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1997,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1997,12,2.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1998,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1998,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1998,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1998,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1998,5,1.6,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1998,6,5.2,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1998,7,2.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1998,8,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1998,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1998,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1998,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1998,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1999,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1999,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1999,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1999,4,0.1,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1999,5,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1999,6,2.2,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1999,7,1.5,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1999,8,2.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1999,9,3.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1999,10,12.5,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1999,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,1999,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2000,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2000,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2000,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2000,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2000,5,26.7,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2000,6,38.8,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2000,7,8.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2000,8,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2000,9,0.2,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2000,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2000,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2000,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2001,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2001,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2001,3,2.5,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2001,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2001,5,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2001,6,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2001,7,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2001,8,4.5,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2001,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2001,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2001,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2001,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2002,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2002,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2002,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2002,4,7.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2002,5,32.3,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2002,6,17.5,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2002,7,25.8,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2002,8,23.8,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2002,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2002,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2002,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2002,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2003,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2003,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2003,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2003,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2003,5,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2003,6,0.5,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2003,7,2.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2003,8,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2003,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2003,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2003,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2003,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2004,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2004,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2004,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2004,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2004,5,0.5,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2004,6,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2004,7,43.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2004,8,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2004,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2004,10,3.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2004,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2004,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2005,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2005,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2005,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2005,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2005,5,1.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2005,6,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2005,7,7.5,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2005,8,20.1,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2005,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2005,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2005,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2005,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2006,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2006,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2006,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2006,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2006,5,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2006,6,1.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2006,7,1.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2006,8,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2006,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2006,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2006,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2006,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2007,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2007,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2007,3,1.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2007,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2007,5,0.4,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2007,6,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2007,7,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2007,8,1.3,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2007,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2007,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2007,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2007,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2008,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2008,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2008,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2008,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2008,5,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2008,6,5.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2008,7,19.5,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2008,8,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2008,9,2.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2008,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2008,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2008,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2009,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2009,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2009,3,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2009,4,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2009,5,3.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2009,6,9.5,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2009,7,4.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2009,8,1.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2009,9,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2009,10,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2009,11,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2009,12,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2010,1,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2010,2,0.0,mm
03823003,VALLENAR DGA,3,DE ATACAMA,VALLENAR,0283509  ,0704419  ,329988,6836664,420,2010,3,0.0,mm
